Country1,Country2,Difference
Australia,Australia,0.0
Australia,Austria,64.99230723708769
Australia,Canada,20.615528128088304
Australia,Denmark,60.51446108162907
Australia,Finland,50.27922035990614
Australia,Great Britain,34.56877203488721
Australia,Ireland,29.154759474226502
Australia,Israel,58.73670062235365
Australia,Jamaica,76.7333043730035
Australia,Netherlands,66.61831579978588
Australia,New Zealand,23.45207879911715
Australia,Norway,61.25357132445422
Australia,Saudi Arabia,58.111960903070546
Australia,South Africa,49.78955713801841
Australia,Sweden,71.43528539874394
Australia,Switzerland,58.855755878248644
Australia,U.S.A.,8.06225774829855
Australia,Belarus,100.38924245156949
Australia,Belgium,82.27393268830657
Australia,Czech Rep,78.07048097712733
Australia,Estonia,93.23089616645332
Australia,France,71.43528539874394
Australia,Germany,74.59222479588607
Australia,Hungary,69.44782214007866
Australia,Italy,65.40642170307133
Australia,Japan,101.77917272212424
Australia,Latvia,94.61500938011896
Australia,Lithuania,98.09179374443104
Australia,Luxembourg,58.82176467941097
Australia,Malta,64.8613906727261
Australia,Moldova,95.19978991573458
Australia,Ukraine,100.14489502715553
Australia,Africa East,78.2815431631237
Australia,Arab countries,78.70196947980399
Australia,Algeria,87.47571091451616
Australia,Argentina,58.215118311311535
Australia,Brazil,71.46327728281149
Australia,Burkina Faso,85.90692637965812
Australia,Chile,86.81589716175259
Australia,Costa Rica,99.74467404327912
Australia,Dominican Rep,60.4979338490167
Australia,Egypt,92.60129588726068
Australia,Georgia,72.3325652801005
Australia,Greece,90.90104509850258
Australia,Iceland,57.227615711297986
Australia,Iran,64.79969135728966
Australia,Iraq,82.59539938761722
Australia,Jordan,63.229739838148944
Australia,Mali,77.47902942086975
Australia,Morocco,74.01351227985333
Australia,Peru,91.92388155425118
Australia,Philippines,86.22644605919926
Australia,Poland,75.0066663703967
Australia,Portugal,98.97474425326898
Australia,Rwanda,68.84765791223403
Australia,Slovenia,97.48846085563153
Australia,Spain,70.18546858146635
Australia,Tanzania,72.44998274671983
Australia,Thailand,85.27015890685323
Australia,Turkey,78.19207120929845
Australia,Uganda,81.30805618141414
Australia,Uruguay,82.0
Australia,Zambia,80.88881257627658
Australia,Zimbabwe,75.94076639065476
Australia,Africa West,82.75264346230881
Australia,Colombia,88.47598544237866
Australia,Ecuador,92.78469701410896
Australia,El Salvador,91.86947262284681
Australia,Ghana,81.30805618141414
Australia,Mexico,84.61087400565013
Australia,Nigeria,80.95677859203639
Australia,Puerto Rico,86.60254037844386
Australia,Trinidad and Tobago,75.67694497005016
Australia,Venezuela,97.81615408509987
Australia,Bulgaria,107.47092630102338
Australia,Croatia,92.56889326334198
Australia,Guatemala,128.6506898543494
Australia,Korea South,123.7457069962429
Australia,Montenegro,105.74497624000868
Australia,Pakistan,111.48542505637228
Australia,Panama,119.0546093185812
Australia,Romania,108.38819123871383
Australia,Russia,119.9499895789908
Australia,Serbia,106.50821564555478
Australia,Suriname,105.92450141492289
Australia,Taiwan,109.43948099292137
Australia,Albania,98.72183142547549
Australia,Armenia,97.72410142846032
Australia,Azerbaijan,95.61380653441218
Australia,Bangladesh,100.28958071504736
Australia,Bosnia,79.97499609252883
Australia,China,117.0256382165891
Australia,Hong Kong,100.70253224224304
Australia,India,79.724525711979
Australia,Indonesia,101.88228501560023
Australia,Kyrgyz Rep,90.43782394551519
Australia,Macedonia Rep,96.23928511787689
Australia,Malaysia,96.92264957170744
Australia,Singapore,106.9579356569675
Australia,Slovak Rep,114.8303095876694
Australia,Vietnam,96.94328238717729
Austria,Australia,64.99230723708769
Austria,Austria,0.0
Austria,Canada,56.77147170894903
Austria,Denmark,85.21736912155878
Austria,Finland,63.229739838148944
Austria,Great Britain,56.94734409961539
Austria,Ireland,56.213877290220786
Austria,Israel,40.620192023179804
Austria,Jamaica,72.42927584892728
Austria,Netherlands,77.08436936240706
Austria,New Zealand,49.51767361255979
Austria,Norway,82.0121942152507
Austria,Saudi Arabia,76.2299153875957
Austria,South Africa,52.79204485526205
Austria,Sweden,89.92774877644831
Austria,Switzerland,33.58571124749333
Austria,U.S.A.,64.67611614808051
Austria,Belarus,86.99425268372619
Austria,Belgium,70.97182539571601
Austria,Czech Rep,62.297672508690084
Austria,Estonia,77.84600182411425
Austria,France,72.73926037567333
Austria,Germany,44.40720662234904
Austria,Hungary,55.70457790882182
Austria,Italy,56.19608527290847
Austria,Japan,62.4099351065197
Austria,Latvia,94.04254356406997
Austria,Lithuania,85.46344247688599
Austria,Luxembourg,42.09513035969837
Austria,Malta,62.601916903558156
Austria,Moldova,85.08231308562314
Austria,Ukraine,84.8940516172953
Austria,Africa East,81.69455306200041
Austria,Arab countries,89.10667763978185
Austria,Algeria,89.39798655450804
Austria,Argentina,62.53798845501828
Austria,Brazil,69.72087205421343
Austria,Burkina Faso,89.33084573650918
Austria,Chile,86.31917515824627
Austria,Costa Rica,78.00640999302557
Austria,Dominican Rep,67.82329983125268
Austria,Egypt,103.85085459446157
Austria,Georgia,72.9657453878188
Austria,Greece,73.77669008569035
Austria,Iceland,66.61080993352356
Austria,Iran,80.41765975207187
Austria,Iraq,88.52118390532291
Austria,Jordan,78.4729252672538
Austria,Mali,81.28345465099278
Austria,Morocco,88.32893070789434
Austria,Peru,86.61408661412992
Austria,Philippines,99.24212815130478
Austria,Poland,75.28612089887484
Austria,Portugal,94.19129471453293
Austria,Rwanda,82.06095295571457
Austria,Slovenia,93.02687783646186
Austria,Spain,65.28399497579785
Austria,Tanzania,75.70336848516055
Austria,Thailand,84.870489570875
Austria,Turkey,71.56814934033156
Austria,Uganda,80.83934685535256
Austria,Uruguay,81.8413098624405
Austria,Zambia,86.76981041814025
Austria,Zimbabwe,89.25805285799147
Austria,Africa West,98.75221516502808
Austria,Colombia,88.50988645343524
Austria,Ecuador,90.62560344626678
Austria,El Salvador,93.24162160752032
Austria,Ghana,90.13878188659973
Austria,Mexico,90.6697303403953
Austria,Nigeria,86.93675862372602
Austria,Puerto Rico,99.02524930541705
Austria,Trinidad and Tobago,77.33692520394123
Austria,Venezuela,100.62802790475425
Austria,Bulgaria,90.23303164584463
Austria,Croatia,82.78284846512591
Austria,Guatemala,117.3328598475295
Austria,Korea South,91.38380600522173
Austria,Montenegro,92.10863151735563
Austria,Pakistan,92.3417565351667
Austria,Panama,109.80892495603443
Austria,Romania,102.70345661174214
Austria,Russia,108.36973747315253
Austria,Serbia,97.94896630388705
Austria,Suriname,98.57991681879226
Austria,Taiwan,78.07048097712733
Austria,Albania,86.76404785393545
Austria,Armenia,87.02873088813831
Austria,Azerbaijan,85.02940667792525
Austria,Bangladesh,93.16651759081692
Austria,Bosnia,75.8946638440411
Austria,China,100.024996875781
Austria,Hong Kong,91.82047701901793
Austria,India,85.34635317340748
Austria,Indonesia,91.49863386958299
Austria,Kyrgyz Rep,82.33468284993876
Austria,Macedonia Rep,86.62563131083085
Austria,Malaysia,109.01376059929315
Austria,Singapore,102.13716267842963
Austria,Slovak Rep,107.2100741535048
Austria,Vietnam,92.84395510748128
Canada,Australia,20.615528128088304
Canada,Austria,56.77147170894903
Canada,Canada,0.0
Canada,Denmark,49.02040391510457
Canada,Finland,35.31288716601915
Canada,Great Britain,26.229754097208
Canada,Ireland,28.26658805020514
Canada,Israel,50.50742519669756
Canada,Jamaica,63.86704940734306
Canada,Netherlands,49.3051721424842
Canada,New Zealand,19.621416870348583
Canada,Norway,47.90615826801394
Canada,Saudi Arabia,43.01162633521314
Canada,South Africa,38.600518131237564
Canada,Sweden,55.71355310873648
Canada,Switzerland,45.17742799230607
Canada,U.S.A.,18.05547008526779
